날짜,확진자 수
2021-02-08,303
2021-02-09,444
2021-02-10,504
2021-02-11,403
2021-02-12,362
2021-02-13,326
2021-02-14,343
2021-02-15,457
2021-02-16,621
2021-02-17,621
2021-02-18,561
2021-02-19,449
2021-02-20,415
2021-02-21,332
2021-02-22,356
2021-02-23,440
2021-02-24,395
2021-02-25,387
2021-02-26,415
2021-02-27,355
2021-02-28,355
2021-03-01,344
2021-03-02,444
2021-03-03,424
2021-03-04,398
2021-03-05,418
2021-03-06,416
2021-03-07,346
2021-03-08,446
2021-03-09,470
2021-03-10,465
2021-03-11,488
2021-03-12,490
2021-03-13,459
2021-03-14,379
2021-03-15,363
2021-03-16,469
2021-03-17,445
2021-03-18,463
2021-03-19,447
2021-03-20,456
2021-03-21,415
2021-03-22,346
2021-03-23,428
2021-03-24,430
2021-03-25,489
2021-03-26,505
2021-03-27,482
2021-03-28,382
2021-03-29,447
2021-03-30,506
2021-03-31,551
2021-04-01,557
2021-04-02,543
2021-04-03,542
2021-04-04,474
2021-04-05,477
2021-04-06,668
2021-04-07,700
2021-04-08,671
2021-04-09,677
2021-04-10,614
2021-04-11,587
2021-04-12,542
2021-04-13,731
2021-04-14,698
2021-04-15,673
2021-04-16,658
2021-04-17,671
2021-04-18,532
2021-04-19,549
2021-04-20,-42866
2021-01-17,43597
2021-04-21,735
2021-04-22,797
2021-04-23,785
2021-04-24,644
2021-04-25,499
2021-04-26,512
2021-04-27,768
2021-04-28,680
2021-04-29,661
2021-04-30,627
2021-05-01,606
2021-05-02,488
2021-05-03,541
2021-05-04,676
2021-05-05,574
2021-05-06,525
2021-05-07,701
2021-05-08,564
2021-05-09,463
2021-05-10,510
2021-05-11,636
2021-05-12,715
2021-05-13,747
2021-05-14,681
2021-05-15,610
2021-05-16,619
2021-05-17,528
2021-05-18,653
2021-05-19,646
2021-05-20,561
2021-05-21,666
2021-05-22,585
2021-05-23,530
2021-05-24,516
2021-05-25,699
2021-05-26,637
2021-05-27,587
2021-05-28,533
2021-05-29,479
2021-05-30,430
2021-05-31,459
2021-06-01,677
2021-06-02,681
2021-06-03,695
2021-06-04,744
2021-06-05,556
2021-06-06,485
2021-06-07,453
2021-06-08,602
2021-06-09,611
2021-06-10,554
2021-06-11,565
2021-06-12,452
2021-06-13,399
2021-06-14,373
2021-06-15,545
2021-06-16,540
2021-06-17,507
2021-06-18,482
2021-06-19,429
2021-06-20,357
2021-06-21,394
2021-06-22,645
2021-06-23,610
2021-06-24,634
2021-06-25,668
2021-06-26,614
2021-06-27,501
2021-06-28,595
2021-06-29,794
2021-06-30,761
2021-07-01,826
2021-07-02,794
2021-07-03,742
2021-07-04,711
2021-07-05,746
2021-07-06,1212
